r,g_r,h_r,c_r
4.298039,1.000000,0.000000,0.000000
4.329412,1.000000,0.000000,0.000000
4.360784,1.000000,0.000000,0.000000
4.392157,1.000000,0.000000,0.000000
4.423529,1.000000,0.000000,0.000000
4.454902,1.000000,0.000000,0.000000
4.486275,1.000000,0.000000,0.000000
4.517647,1.000000,0.000000,0.000000
4.549020,1.000000,0.000000,0.000000
4.580392,1.000000,0.000000,0.000000
4.611765,1.000000,0.000000,0.000000
4.643137,1.000000,0.000000,0.000000
4.674510,1.000000,0.000000,0.000000
4.705882,1.000000,0.000000,0.000000
4.737255,1.000000,0.000000,0.000000
4.768627,1.000000,0.000000,0.000000
4.800000,1.000000,0.000000,0.000000
4.831373,1.000000,0.000000,0.000000
4.862745,1.000000,0.000000,0.000000
4.894118,1.000000,0.000000,0.000000
4.925490,1.000000,0.000000,0.000000
4.956863,1.000000,0.000000,0.000000
4.988235,1.000000,0.000000,0.000000
5.019608,1.000000,0.000000,0.000000
5.050980,1.000000,0.000000,0.000000
5.082353,1.000000,0.000000,0.000000
5.113725,1.000000,0.000000,0.000000
5.145098,1.000000,0.000000,0.000000
5.176471,1.000000,0.000000,0.000000
5.207843,1.000000,0.000000,0.000000
5.239216,1.000000,0.000000,0.000000
5.270588,1.000000,0.000000,0.000000
5.301961,1.000000,0.000000,0.000000
5.333333,1.000000,0.000000,0.000000
5.364706,1.000000,0.000000,0.000000
5.396078,1.000000,0.000000,0.000000
5.427451,1.000000,0.000000,0.000000
5.458824,1.000000,0.000000,0.000000
5.490196,1.000000,0.000000,0.000000
5.521569,1.000000,0.000000,0.000000
5.552941,1.000000,0.000000,0.000000
5.584314,1.000000,0.000000,0.000000
5.615686,1.000000,0.000000,0.000000
5.647059,1.000000,0.000000,0.000000
5.678431,1.000000,0.000000,0.000000
5.709804,1.000000,0.000000,0.000000
5.741176,1.000000,0.000000,0.000000
5.772549,1.000000,0.000000,0.000000
5.803922,1.000000,0.000000,0.000000
5.835294,1.000000,0.000000,0.000000
5.866667,1.000000,0.000000,0.000000
5.898039,1.000000,0.000000,0.000000
