r,g_r,h_r,c_r
4.203922,0.999775,-0.000225,0.000000
4.235294,0.999775,-0.000225,0.000000
4.266667,0.999775,-0.000225,0.000000
4.298039,0.999775,-0.000225,0.000000
4.329412,0.999775,-0.000225,0.000000
4.360784,0.999774,-0.000226,0.000000
4.392157,0.999774,-0.000226,0.000000
4.423529,0.999774,-0.000226,0.000000
4.454902,0.999774,-0.000226,0.000000
4.486275,0.999774,-0.000226,0.000000
4.517647,0.999774,-0.000226,0.000000
4.549020,0.999774,-0.000226,0.000000
4.580392,0.999774,-0.000226,0.000000
4.611765,0.999774,-0.000226,0.000000
4.643137,0.999774,-0.000226,0.000000
4.674510,0.999774,-0.000226,0.000000
4.705882,0.999774,-0.000226,0.000000
4.737255,0.999774,-0.000226,0.000000
4.768627,0.999774,-0.000226,0.000000
4.800000,0.999774,-0.000226,0.000000
4.831373,0.999774,-0.000226,0.000000
4.862745,0.999774,-0.000226,0.000000
4.894118,0.999774,-0.000226,0.000000
4.925490,0.999774,-0.000226,0.000000
4.956863,0.999774,-0.000226,0.000000
4.988235,0.999774,-0.000226,0.000000
5.019608,0.999774,-0.000226,0.000000
5.050980,0.999774,-0.000226,0.000000
5.082353,0.999773,-0.000227,0.000000
5.113725,0.999773,-0.000227,0.000000
5.145098,0.999773,-0.000227,0.000000
5.176471,0.999773,-0.000227,0.000000
5.207843,0.999773,-0.000227,0.000000
5.239216,0.999773,-0.000227,0.000000
5.270588,0.999773,-0.000227,0.000000
5.301961,0.999773,-0.000227,0.000000
5.333333,0.999773,-0.000227,0.000000
5.364706,0.999773,-0.000227,0.000000
5.396078,0.999773,-0.000227,0.000000
5.427451,0.999773,-0.000227,0.000000
5.458824,0.999773,-0.000227,0.000000
5.490196,0.999773,-0.000227,0.000000
5.521569,0.999773,-0.000227,0.000000
5.552941,0.999773,-0.000227,0.000000
5.584314,0.999773,-0.000227,0.000000
5.615686,0.999773,-0.000227,0.000000
5.647059,0.999773,-0.000227,0.000000
5.678431,0.999773,-0.000227,0.000000
5.709804,0.999773,-0.000227,0.000000
5.741176,0.999773,-0.000227,0.000000
5.772549,0.999773,-0.000227,0.000000
5.803922,0.999773,-0.000227,0.000000
5.835294,0.999773,-0.000227,0.000000
5.866667,0.999773,-0.000227,0.000000
5.898039,0.999773,-0.000227,0.000000
5.929412,0.999773,-0.000227,0.000000
5.960784,0.999773,-0.000227,0.000000
5.992157,0.999773,-0.000227,0.000000
6.023529,0.999773,-0.000227,0.000000
6.054902,0.999773,-0.000227,0.000000
6.086275,0.999773,-0.000227,0.000000
6.117647,0.999773,-0.000227,0.000000
6.149020,0.999773,-0.000227,0.000000
6.180392,0.999773,-0.000227,0.000000
6.211765,0.999773,-0.000227,0.000000
6.243137,0.999773,-0.000227,0.000000
6.274510,0.999773,-0.000227,0.000000
6.305882,0.999773,-0.000227,0.000000
6.337255,0.999773,-0.000227,0.000000
6.368627,0.999773,-0.000227,0.000000
6.400000,0.999773,-0.000227,0.000000
6.431373,0.999773,-0.000227,0.000000
6.462745,0.999773,-0.000227,0.000000
6.494118,0.999773,-0.000227,0.000000
6.525490,0.999773,-0.000227,0.000000
6.556863,0.999773,-0.000227,0.000000
6.588235,0.999773,-0.000227,0.000000
6.619608,0.999773,-0.000227,0.000000
6.650980,0.999773,-0.000227,0.000000
6.682353,0.999773,-0.000227,0.000000
6.713725,0.999773,-0.000227,0.000000
6.745098,0.999773,-0.000227,0.000000
6.776471,0.999773,-0.000227,0.000000
6.807843,0.999773,-0.000227,0.000000
6.839216,0.999773,-0.000227,0.000000
6.870588,0.999773,-0.000227,0.000000
6.901961,0.999773,-0.000227,0.000000
6.933333,0.999773,-0.000227,0.000000
6.964706,0.999773,-0.000227,0.000000
6.996078,0.999773,-0.000227,0.000000
7.027451,0.999773,-0.000227,0.000000
7.058824,0.999773,-0.000227,0.000000
7.090196,0.999773,-0.000227,0.000000
7.121569,0.999773,-0.000227,0.000000
7.152941,0.999773,-0.000227,0.000000
7.184314,0.999773,-0.000227,0.000000
7.215686,0.999773,-0.000227,0.000000
7.247059,0.999773,-0.000227,0.000000
7.278431,0.999773,-0.000227,0.000000
7.309804,0.999773,-0.000227,0.000000
7.341176,0.999773,-0.000227,0.000000
7.372549,0.999773,-0.000227,0.000000
7.403922,0.999773,-0.000227,0.000000
7.435294,0.999773,-0.000227,0.000000
7.466667,0.999773,-0.000227,0.000000
7.498039,0.999773,-0.000227,0.000000
7.529412,0.999773,-0.000227,0.000000
7.560784,0.999773,-0.000227,0.000000
7.592157,0.999773,-0.000227,0.000000
7.623529,0.999773,-0.000227,0.000000
7.654902,0.999773,-0.000227,0.000000
7.686275,0.999773,-0.000227,0.000000
7.717647,0.999773,-0.000227,0.000000
7.749020,0.999773,-0.000227,0.000000
7.780392,0.999773,-0.000227,0.000000
7.811765,0.999773,-0.000227,0.000000
7.843137,0.999773,-0.000227,0.000000
7.874510,0.999773,-0.000227,0.000000
7.905882,0.999773,-0.000227,0.000000
7.937255,0.999773,-0.000227,0.000000
7.968627,0.999773,-0.000227,0.000000
8.000000,0.999773,-0.000227,0.000000
